THREAD 140534198031936: 2 moves possible after move #13; creating threads...
THREAD 140535918470720: 2 moves possible after move #7; creating threads...
THREAD 140534080534080: 2 moves possible after move #12; creating threads...
THREAD 140534063748672: 2 moves possible after move #10; creating threads...
THREAD 140534433027648: 3 moves possible after move #9; creating threads...
THREAD 140534626059840: 2 moves possible after move #12; creating threads...
THREAD 140534399456832: 2 moves possible after move #8; creating threads...
THREAD 140534382671424: 2 moves possible after move #10; creating threads...
THREAD 140534357493312: 2 moves possible after move #10; creating threads...
THREAD 140534349100608: 2 moves possible after move #9; creating threads...
THREAD 140535230334528: Thread [140534332315200] joined from multiple (returned 14)
THREAD 140534231602752: 3 moves possible after move #9; creating threads...
THREAD 140534281958976: 2 moves possible after move #11; creating threads...
THREAD 140534231602752: Thread [140532242531904] joined from multiple (returned 10)
THREAD 140534407849536: 2 moves possible after move #10; creating threads...
THREAD 140534760343104: Thread [140534164461120] joined from multiple (returned 15)
THREAD 140534508561984: 2 moves possible after move #8; creating threads...
THREAD 140534206424640: 2 moves possible after move #11; creating threads...
THREAD 140534642845248: 2 moves possible after move #10; creating threads...
THREAD 140541991839296: Thread [140539399738944] joined from multiple (returned 7)
THREAD 140534273566272: 2 moves possible after move #12; creating threads...
THREAD 140534172853824: 2 moves possible after move #10; creating threads...
THREAD 140534156068416: 2 moves possible after move #10; creating threads...
THREAD 140537520690752: Thread [140534298744384] joined from multiple (returned 13)
THREAD 140534130890304: 2 moves possible after move #8; creating threads...
THREAD 140534139283008: 2 moves possible after move #10; creating threads...
THREAD 140534072141376: 2 moves possible after move #11; creating threads...
THREAD 140534374278720: 2 moves possible after move #8; creating threads...
THREAD 140534189639232: Thread [140533979821632] joined from multiple (returned 13)
THREAD 140534013392448: 3 moves possible after move #9; creating threads...
THREAD 140539399738944: 2 moves possible after move #9; creating threads...
THREAD 140534046963264: 2 moves possible after move #11; creating threads...
THREAD 140534164461120: 2 moves possible after move #8; creating threads...
THREAD 140534332315200: 2 moves possible after move #9; creating threads...
THREAD 140536597952064: Thread [140534030177856] joined from multiple (returned 9)
THREAD 140533971428928: 2 moves possible after move #8; creating threads...
THREAD 140535809431104: 2 moves possible after move #10; creating threads...
THREAD 140534416242240: 2 moves possible after move #12; creating threads...
THREAD 140534298744384: 2 moves possible after move #12; creating threads...
THREAD 140534088926784: 2 moves possible after move #9; creating threads...
